Name,Location,ReviewCounts,StarsNumber
Cuisine of Nepal,Bernal Heights,648,4.5
Dumpling Park,Inner Sunset,139,3.5
Marufuku Ramen,Lower Pacific Heights,3615,4.5
Farmhouse Kitchen Thai Cuisine,Mission,3042,4.0
Vico Cavone,Castro,50,4.5
Kokkari Estiatorio,Financial District,4718,4.5
Fog Harbor Fish House,Fisherman's Wharf,7144,4.5
Dumpling House,Castro,273,4.5
Lily,Inner Richmond,188,4.5
Dumpling Home,Hayes Valley,360,4.5
Daeho Kalbijjim & Beef Soup,Japantown,1230,4.5
Sotto Mare Oysteria & Seafood,North Beach/Telegraph Hill,4234,4.5
Besharam,Potrero Hill,272,3.5
Khamsa,Mission,268,4.0
Nani’s Restaurant,Mission,-1,-1.0
Dumpling Kitchen,Parkside,1795,4.0
Lokma,Outer Richmond,441,4.5
a Mano,Hayes Valley,1197,4.0
Beit Rima,Duboce Triangle,488,4.5
California Fish Market Restaurant,North Beach/Telegraph Hill,337,4.5
Jamie’s place,Inner Sunset,158,4.5
Nopa,Alamo Square,5168,4.0
Kitchen Story,Castro,3641,4.0
Burma Superstar,Inner Richmond,7028,4.0
Komaaj,Mission,130,5.0
Strada Pizza,Parkside,96,4.5
Khamsa,Mission,268,4.0
Nani’s Restaurant,Mission,-1,-1.0
The Snug,Pacific Heights,286,4.0
Kitchen Woori,Western Addition,43,5.0
Beit Rima,Cole Valley,142,4.5
Starbelly,Castro,1998,4.0
Nash Hot Chicken & Ramen,Castro,24,5.0
Burma Love,Mission,1356,4.0
Fable,Castro,656,4.0
The Tailor’s Son,Lower Pacific Heights,158,4.0
Jaranita,Marina/Cow Hollow,157,4.5
Parada 22,The Haight,1315,4.0
Strada Pizza,Parkside,96,4.5
Khamsa,Mission,268,4.0
Nani’s Restaurant,Mission,-1,-1.0
Son & Garden,Tenderloin,563,4.5
Purple Rice,Lower Haight,163,4.5
Tanglad,Castro,154,4.5
Beretta,Mission,3868,4.0
Nopalito,Lower Haight,1929,4.0
Udon Mugizo,Lower Pacific Heights,1072,4.0
The Italian Homemade Company,Marina/Cow Hollow,1058,4.5
Manna,Inner Sunset,1198,4.0
Fiorella - Sunset,Inner Sunset,72,4.0
SF Honey Pig Korean BBQ,Inner Richmond,149,4.5
Strada Pizza,Parkside,96,4.5
Khamsa,Mission,268,4.0
Strada Pizza,Parkside,96,4.5
Ushi Taro Ramen,Inner Sunset,310,4.5
Zazie,Cole Valley,4728,4.0
Rooftop 25,Mission Bay,210,4.0
HOT JOHNNIE’S,Castro,151,5.0
Um Ma,Inner Sunset,480,4.0
Tastebuds,Inner Richmond,189,4.0
Surisan,Fisherman's Wharf,2446,4.5
Hinodeya Ramen Bar,Japantown,1464,4.0
Routier,Lower Pacific Heights,78,4.5
Wooden Spoon,Duboce Triangle,445,4.5
KFC,Mission,-1,-1.0
Khamsa,Mission,268,4.0
Strada Pizza,Parkside,96,4.5
Roma Antica,Marina/Cow Hollow,941,4.5
The Pawn Shop,SoMa,304,4.5
Caliente Bistro Kitchen,Inner Richmond,81,5.0
Woodhouse Fish Company,Lower Pacific Heights,2378,4.0
NOVY Restaurant,Noe Valley,466,4.0
Ernest,Mission,133,4.5
Hog Island Oyster Co,Embarcadero,6333,4.5
Limón,Mission,3333,4.0
Brenda’s French Soul Food,Tenderloin,11344,4.0
Noodle in a Haystack,Inner Richmond,37,5.0
Biriani House,Mission,42,4.0
Khamsa,Mission,268,4.0
Strada Pizza,Parkside,96,4.5
Copas,Castro,38,4.5
Limoncello,Lower Pacific Heights,1285,5.0
Bhoga,Castro,200,4.5
Willkommen,Duboce Triangle,150,4.0
Bella Trattoria,Inner Richmond,1559,4.5
Good Good Culture Club,Mission,13,5.0
Horsefeather,Alamo Square,388,4.0
Mersea,,840,4.5
Four Chairs,Bernal Heights,16,5.0
Tadu Ethiopian Kitchen,Mission Bay,353,4.5
Cuisine of Nepal,Bernal Heights,648,4.5
Khamsa,Mission,268,4.0
Strada Pizza,Parkside,96,4.5
Blind Butcher,Castro,151,4.0
Voodoo Love Restaurant,Mission,307,4.0
JIJIME,Outer Richmond,406,4.5
Unco Frank’s,Inner Richmond,21,5.0
Frances,Castro,1499,4.5
Dabao Singapore,Potrero Hill,65,5.0
La Vaca Birria,Mission,34,4.5
State Bird Provisions,Western Addition,2889,4.0
Akira Japanese Restaurant,Lower Pacific Heights,434,4.5
Izakaya Sozai,Inner Sunset,2102,4.0
Keeva Indian Kitchen,Inner Richmond,608,4.5
Khamsa,Mission,268,4.0
Biriani House,Mission,42,4.0
Delarosa,Marina/Cow Hollow,1709,4.0
Lark,Castro,307,4.0
Pearl 6101,Outer Richmond,329,4.5
San Tung,Inner Sunset,7343,4.0
Hilda and Jesse,Russian Hill,438,1.0
Izakaya KOU,Western Addition,875,4.0
Poesia,Castro,831,4.0
MaMa Ji’s,Castro,808,4.0
Pizzetta 211,Outer Richmond,1350,4.5
3rd Cousin,Bernal Heights,336,4.0
Strada Pizza,Parkside,96,4.5
Khamsa,Mission,268,4.0
Unfurl,Mission Bay,22,4.0
Pho Huong Viet,Outer Richmond,103,4.5
The Front Porch,Bernal Heights,2988,4.0
Cote Ouest Bistro,Marina/Cow Hollow,76,5.0
Cha Cha Cha,The Haight,3291,4.0
YH-Beijing,Lower Haight,180,4.5
Cajun SF,Bayview-Hunters Point,33,4.0
Presidio Kebab,Presidio Heights,174,4.5
Hook Fish,Outer Sunset,718,4.5
Troya,Pacific Heights,647,4.0
Bonita Taqueria Y Rotisserie,Duboce Triangle,59,4.5
Biriani House,Mission,42,4.0
Khamsa,Mission,268,4.0
Unfurl,Mission Bay,22,4.0
Mensho Tokyo SF,Lower Nob Hill,2432,4.0
Shish Ke Baba,Bernal Heights,313,5.0
Coqueta,Embarcadero,2246,4.0
Ben Thai Cafe,Lower Nob Hill,647,4.5
Tratto,Tenderloin,597,4.0
Bellota,Mission Bay,694,4.0
The House of Hummus,Laurel Heights,46,5.0
Little Original Joe’s,West Portal,142,4.5
Dumpling Baby China Bistro,Inner Richmond,128,4.5
San Ho Won,Mission,68,4.5
Strada Pizza,Parkside,96,4.5
Khamsa,Mission,268,4.0
Unfurl,Mission Bay,22,4.0
Perilla,Inner Sunset,1413,4.0
Dumpling Time,,2281,4.0
Vive La Tarte,Noe Valley,93,4.5
Hoshinoya,Japantown,110,4.5
Cafe De Casa,Castro,90,4.5
Akna,Hayes Valley,86,4.5
Super Duper Burgers,Laurel Heights,10,4.5
Palette,SoMa,136,4.5
Otra,Lower Haight,70,4.5
Dumpling Specialist,Parkside,187,4.5
Biriani House,Mission,42,4.0
Khamsa,Mission,268,4.0
Unfurl,Mission Bay,22,4.0
Padrecito,Cole Valley,1002,4.0
Bodega SF,Castro,73,4.5
Cielito Lindo,Outer Richmond,189,4.5
Artesano,Laurel Heights,409,4.0
MaMo,Marina/Cow Hollow,166,4.5
Saucy Asian,Castro,383,4.5
Cracked & Battered - Marina,Marina/Cow Hollow,306,4.5
Sunset Cantina,Outer Sunset,218,4.5
Rong’s,Outer Richmond,255,4.5
Itria,Mission,64,4.5
Biriani House,Mission,42,4.0
Khamsa,Mission,268,4.0
Unfurl,Mission Bay,22,4.0
Itria,Mission,64,4.5
Hai Ky Noodles,Tenderloin,1045,4.5
Picaro,Mission,1705,4.0
Guilin Rice Noodles House,Parkside,84,4.0
Nabe,Marina/Cow Hollow,262,4.5
Santeria,Castro,127,4.5
Sweet Maple,Lower Pacific Heights,4158,4.5
Niku Steakhouse,,346,4.5
The Italian Homemade Company,Russian Hill,1676,4.5
Lee’s Dim Sum,SoMa,26,5.0
Strada Pizza,Parkside,96,4.5
Khamsa,Mission,268,4.0
KFC,Mission,-1,-1.0
Barcha,Financial District,591,4.0
Kaiju Eats Ramen and Izakaya,Laurel Heights,837,4.0
Anchor Oyster Bar,Castro,1561,4.5
The Codmother Fish & Chips,Fisherman's Wharf,3102,4.5
Lavash,Inner Sunset,1443,4.0
DragonEats,The Haight,252,4.5
Lazy Bear,Mission,684,4.5
Beretta Pop Up,NoPa,204,4.0
Buddy,Mission,4,5.0
Hodala,Outer Richmond,589,4.0
Biriani House,Mission,42,4.0
Khamsa,Mission,268,4.0
Unfurl,Mission Bay,22,4.0
Heroic Italian,Castro,87,4.5
Radhaus,Marina/Cow Hollow,256,4.0
Souvla,NoPa,508,4.0
Chapeau,Inner Richmond,2780,4.5
Inle Burmese Cuisine,Noe Valley,131,4.0
Ken,Lower Haight,39,5.0
$6 Dollar Bowl Shop,Bayview-Hunters Point,49,4.5
Ragazza,Lower Haight,687,4.0
Stix,Parkside,306,4.0
Mikkeller Bar,Union Square,1230,4.0
Nani’s Restaurant,Mission,-1,-1.0
Khamsa,Mission,268,4.0
Strada Pizza,Parkside,96,4.5
The Morris,Mission,327,4.5
Sorella,Nob Hill,17,4.0
Uma Casa,Noe Valley,306,4.0
Aria Korean Street Food,Lower Nob Hill,1053,4.0
Dumpling Time Thrive City,Mission Bay,145,4.0
Kagawa-Ya Udon,SoMa,331,4.0
Red Window,North Beach/Telegraph Hill,79,4.0
Fifth Arrow,Union Square,91,4.5
Mochica,Potrero Hill,661,4.0
Cafe Okawari,Mission Bay,179,4.5
Cuisine of Nepal,Bernal Heights,648,4.5
Khamsa,Mission,268,4.0
Biriani House,Mission,42,4.0
Flour & Water Pasta Shop,Mission,26,4.0
Lime Tree Southeast Asian Kitchen,Inner Richmond,375,4.5
Mamahuhu,Inner Richmond,202,4.0
L’Ardoise Bistro,Duboce Triangle,1320,4.5
Flores,Marina/Cow Hollow,719,4.0
Souvla,Hayes Valley,1526,4.0
Gyu-Kaku Japanese BBQ,SoMa,86,3.5
Halal Dastarkhan,Lower Nob Hill,167,4.5
Mangrove Kitchen,Lower Haight,309,4.0
Hotbird,SoMa,187,4.5
Strada Pizza,Parkside,96,4.5
Khamsa,Mission,268,4.0
Unfurl,Mission Bay,22,4.0
QingShu,Inner Sunset,97,4.0
Lime Tree Southeast Asian Kitchen,Inner Sunset,1538,4.0
Brenda’s Meat & Three,NoPa,1268,4.0
Canela Bistro & Wine Bar,Duboce Triangle,710,4.5
Banh Mi Love,Stonestown,33,5.0
Chez Maman West,Hayes Valley,1313,4.0
La Mediterranee,Pacific Heights,1607,4.0
Kui Shin Bo,Japantown,825,4.0
Billingsgate,Noe Valley,51,4.5
opa cafe,Lower Pacific Heights,407,4.5
Biriani House,Mission,42,4.0
Khamsa,Mission,268,4.0
Biriani House,Mission,42,4.0
Bao,Mission,116,4.5
Uncle Tito,SoMa,20,4.5
Original Joe’s,North Beach/Telegraph Hill,1682,4.0
CreoLa,Cole Valley,96,4.5
Pampanguena Cuisine,Excelsior,371,4.5
Eats,Inner Richmond,1230,4.0
Che Fico Alimentari,Alamo Square,121,4.0
Tato,Bayview-Hunters Point,102,4.5
Bazille,Union Square,109,4.5
Marcella’s Lasagneria,Potrero Hill,424,4.5
Strada Pizza,Parkside,96,4.5
Strada Pizza,Parkside,96,4.5
Keeva Indian Kitchen,Inner Richmond,608,4.5
Osteria Bella,Inner Richmond,138,4.5
Noosh,Lower Pacific Heights,463,3.5
Waterfall,Mission,46,5.0
Pinoy Heritage,Potrero Hill,19,5.0
Magnolia Brewing - Dogpatch,Dogpatch,155,3.5
Magic Flute Ristorante,Presidio Heights,600,4.0
Cracked & Battered - Potrero Hill,Potrero Hill,1057,4.5
Ox & Tiger,Tenderloin,16,5.0
Mister Jiu’s,Chinatown,819,4.0
Bacco,Noe Valley,495,4.0
Amarena,Russian Hill,623,4.0
Unfurl,Mission Bay,22,4.0
Biriani House,Mission,42,4.0
Bacco,Noe Valley,495,4.0
Dumpling Alley,Outer Richmond,187,4.0
Hu Tong Jian Bing,Dogpatch,29,4.0
Lolinda,Mission,2099,4.0
Hot Sauce and Panko,Nob Hill,1233,4.5
Izakaya Mayumi,Outer Richmond,68,4.5
Vixi,Laurel Heights,235,4.0
Okane,Mission Bay,393,4.0
Arepas En Bici,Lower Nob Hill,45,4.5
Rich Table,Hayes Valley,1343,4.0
Strada Pizza,Parkside,96,4.5
Unfurl,Mission Bay,22,4.0
Strada Pizza,Parkside,96,4.5
Chez Maman East,Potrero Hill,2192,4.5
Scopo Divino,Pacific Heights,297,4.5
Pinoy Heritage,Potrero Hill,19,5.0
Volcano,Outer Richmond,1263,4.0
Kazan,Mission,504,4.5
La Mar Cebichería Peruana,Embarcadero,4014,4.0
Shabusen Authentic Japanese Shabu Shabu,Japantown,8,4.5
Burma Love - Downtown,Union Square,233,4.5
Damn Fine,Outer Sunset,96,4.5
Mr. Digby’s Bar & Restaurant,Noe Valley,80,4.5
Keeva Indian Kitchen,Inner Richmond,608,4.5
Unfurl,Mission Bay,22,4.0
Nani’s Restaurant,Mission,-1,-1.0
Uncle Tito,SoMa,20,4.5
Outer Orbit,Bernal Heights,119,4.5
Hot Sauce and Panko,Nob Hill,1233,4.5
Barzotto,Mission,717,4.0
Tacos El Patrón,Mission,602,4.0
Sorrel,Presidio Heights,274,4.0
Lucky Pig,Tenderloin,219,4.0
Daeho Kalbijjim & Beef Soup,Ingleside Heights,69,4.0
IZUMIYA,Japantown,80,4.0
Ramenwell,Mission,241,4.5
Strada Pizza,Parkside,96,4.5
